更新时间,#genre#


央视频道,#genre#
CCTV1,http://dd.ddzb.fun/php/migu.php?id=cctv1
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
CCTV1,http://173.208.212.130:8181/1080p/cctv1.m3u8
CCTV1,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV1,http://198.204.240.250:82/live/cctv1.m3u8
CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV1,http://173.208.212.130:8181/720p/cctv1.m3u8
CCTV1,https://cdn16.123.rr.kg/163189/cctv1
CCTV1,http://tv123.cc.cd/live.php?ch=2288&sid=700f4cedea8af059591520ea65b251f1&exp=1785859083&sig=1732cb41eb38aea48a69491f95989cf0a33878c3f34aa8b966fac63cb732a909
CCTV1,http://bak.dou.ddns-ip.net/api.php?n=cctvxxx&id=YWbpgZ&tk=32VnOYRWppMK
CCTV1,https://tv123.cc.cd/live.php/?ch=692025e61039
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6e1bed&tk=822270345d4c
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8a160a&tk=822270345d4c
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=fe8727&tk=822270345d4c
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=017379&tk=822270345d4c
CCTV1,http://218.1.138.153:9003/hls/1/index.m3u8
CCTV1,http://221.225.162.96:9004/hls/1/index.m3u8
CCTV1,http://qwrt.ansun.de5.net:7088/%E5%A4%AE%E8%A7%86/CCTV1
CCTV1,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV1,http://m.061899.xyz/mg/cctv1
CCTV1,http://139.227.21.22:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://223.247.25.247:1234/608807420
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV1,http://wfenf.x3322.net:7788/608807420
CCTV1,http://219.140.5.55:1234/608807420
CCTV1,http://223.167.209.88:1234/608807420
CCTV1,http://211.101.246.28:3000/608807420
CCTV1,http://58.56.162.102:4466/newlive/live/hls/1/live.m3u8
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://14.153.176.108:1234/608807420
CCTV1,http://182.61.15.73:80/608807420
CCTV1,http://182.37.41.46:8154/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://61.143.15.139:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://182.61.15.47:80/608807420
